,Unnamed: 0,image,caption
215,215,367740415.jpg,A boy in goggles and a blue pajama set jumps into the air.
216,216,3965762928.jpg,An African American male with a black top with the sleeves rolled up holding a white cup with
217,217,3397803103.jpg,A dog catching the ball in the snow.
218,218,6756425037.jpg,Two African children with their faces painted in orange are posing for a picture in front of a
219,219,3657809135.jpg,Two women wearing saris sitting cross-legged.
220,220,2919151852.jpg,A man in a blue shirt and blue jeans wearing a backpack is crossing a city street.
221,221,3321209919.jpg,A man wearing a yellow jacket is digging a hole while someone approaches him.
222,222,3250952067.jpg,The quad at the student services fair.
223,223,6775386632.jpg,A little girl with black hair makes a craft using a cork and a tiny umbrella.
224,224,3349415759.jpg,An old man is wearing eyeglasses.
225,225,3117562746.jpg,Two dogs in the snow.
226,226,41999070.jpg,Many dogs are swimming and playing in a fountain in a public park.
227,227,3932157451.jpg,A man with a tattoo on his right arm is looking into the distance.
228,228,5187127204.jpg,A group of men on a boat that is tipped wearing helmets.
229,229,5885795251.jpg,"A very happily and newlywed man is enjoying a long, deep kiss from his beautiful bride"
230,230,3721368299.jpg,A cute young woman is holding up some type of linen while she is standing in front of
231,231,4911985199.jpg,A woman holding a helmet next to two motor scooters.
232,232,4554601589.jpg,A police officer on a bicycle looks at a woman wearing a headscarf.
233,233,3834120725.jpg,An overweight couple are very casually dressed to get married outside.
234,234,2399674240.jpg,A woman wearing a gray jacket and visibly laughing is seated next to a woman who is wearing
235,235,1145145003.jpg,"The woman tries to hide from work under a black sweatshirt, but her red corduro"
236,236,952352291.jpg,A man with a ponytail wearing a hat walking down the street carrying a plastic bag.
237,237,4841235702.jpg,A man pulls a cart of food on a city street.
238,238,6113672400.jpg,"After winning a race, a race car driver celebrates with a battle of wine."
239,239,226310408.jpg,A man without a shirt is working with woods.
240,240,3899250752.jpg,A woman put a mushroom in the mouth of a girl.
241,241,4685056764.jpg,Three men in soldier dress and helmets stand with guns outside of a building.
242,242,2269795781.jpg,A woman in a green shirt and blue hat is playing tennis.
243,243,8757787.jpg,Men are cooking and serving food from a grill.
244,244,307327914.jpg,A closeup of an older man speaking with glasses.
245,245,459538095.jpg,A man in a red shirt is on a computer and another man is sitting near him.
246,246,523991446.jpg,"She flips her hair as she dances outdoors, band in background."
247,247,2863027424.jpg,A man rides a bike through a wooded trail.
248,248,4967328828.jpg,A bikini-clad female is sunbathing near a body of water.
249,249,4840742835.jpg,"s.""]"
250,250,6398988.jpg,Latino man holding sign on the sidewalk outside promoting Quiznos-Subs.
251,251,4789755167.jpg,Two construction workers are working in front of a wall that has a number of names carved into
252,252,3324746155.jpg,Man in AIG T-shirt playing soccer.
253,253,4833609984.jpg,A man in a white shirt and black pants standing at the side or the road.
254,254,2506703854.jpg,Two men perform repairs on an orange elevator.
255,255,3473411697.jpg,A shirtless man and a woman are jogging on a sidewalk.
256,256,2441818017.jpg,A man is sawing a piece of wood.
257,257,3443404125.jpg,Two old men having a conversation.
258,258,4520180621.jpg,"A woman is walking in the street, talking on a cellphone."
259,259,6233621366.jpg,A man in a red shirt and green shorts is surfing a half pipe.
260,260,4111420077.jpg,Man in striped shirt carrying wooden basket over right shoulder.
261,261,2536995789.jpg,Workers within a stairwell under construction.
262,262,2247174236.jpg,A couple sitting at a table outside a cafe.
263,263,3239866450.jpg,A skier flies past bare trees after taking a night jump.
264,264,3603064161.jpg,A small boy and a small girl setting up a camera
265,265,7072093185.jpg,"One man and one woman, with blue gloves on, put something in a syringe into"
266,266,640028992.jpg,A standing man is reading a newspaper on a deck in a park setting.
267,267,1942789089.jpg,A man covering a mailbox with a black trash bag.
268,268,4797720700.jpg,A man and his dog sitting by a statue.
269,269,170540666.jpg,Many people walk to fight breast cancer every day.
270,270,2782065752.jpg,The young man in the kerchief is wearing a tool belt.
271,271,366978558.jpg,"A woman is looking into a mirror, brushing her hair."
272,272,1733590931.jpg,A band is on stage with their instruments.
273,273,2222559267.jpg,A man and a girl hold hands as they walk down the street.
274,274,6135587407.jpg,Three cyclists riding down a steep hill wearing helmets.
275,275,3945002600.jpg,A man in business attire sits at a table in a library.
276,276,2705104779.jpg,"Two girls, one in a red shirt and blue skirt, are washing a red pickup truck"
277,277,2474918824.jpg,A guy tries to climb a rock cliff while his friend helps him.
278,278,4631334859.jpg,A lady and a young girl taking a walk down a tree-lined street.
279,279,4803926155.jpg,A person shopping at an open-air market in another country.
280,280,4888308769.jpg,A Asian male rides a bike in the streets of a large brightly lit city.
281,281,2405978603.jpg,A brown and white dog running through water towards a toy.
282,282,4656225038.jpg,Two girls play on a tree along with their pet dog.
283,283,5217054772.jpg,A woman with her eyes closed works on some sort of weaving machine.
284,284,131853788.jpg,A child in a blue shirt is playing on a playground equipment.
285,285,2687328779.jpg,A terrier is sprayed by a hose while jumping in a pool.
286,286,2536876757.jpg,A man is standing in front of a large gear.
287,287,3525514625.jpg,"The man, under the canopy, is working on a bicycle while an onlooker watches."
288,288,149388615.jpg,People either standing or sitting waiting in a subway train station.
289,289,395798320.jpg,Three ice hockey players in black play outside.
290,290,2705099283.jpg,A group of young and older people stand in a circle clapping.
291,291,85326165.jpg,A shirtless man is sitting on the ground holding a fruit.
292,292,3343342294.jpg,A woman pushing a piece of cleaning equipment while walking in front of a cab.
293,293,4514569500.jpg,A young girl in a flowered dress interacts with her father outdoors in a park-like
294,294,84962837.jpg,"A group of people standing on public transit, two in the foreground are reading newspapers."
295,295,3314788599.jpg,Two girls in blue jeans sit by a riverbank.
296,296,2686141763.jpg,Three women and a man in a green shirt are watching the water on a boat.
297,297,5769959745.jpg,"A girl swipes at a colorful, candy-filled object flying in the air as her"
298,298,55473406.jpg,A man at the top of a mountain with a beautiful view in the background.
299,299,2892844237.jpg,"Asian male in baseball cap, striped polo shirt, sitting on ground, with white thread"
300,300,2981091991.jpg,Men in orange vests and hard hats.
301,301,216696529.jpg,Four shirtless men hard at work on a scaffold.
302,302,4706729628.jpg,An old man with a cigarette in his mouth.
303,303,5200715254.jpg,A man is looking through a big blue telescope at night.
304,304,4726677489.jpg,Several people are walking along a street in tennis shoes and shorts.
305,305,3713133789.jpg,A brown and white dog jumps over a dog hurdle.
306,306,5077873899.jpg,"An African American singer, dressed in black, is singing into a microphone."
307,307,399631066.jpg,A little girl in a pink genie outfit stepping over a puddle.
308,308,3587666993.jpg,A balding white-haired man talks on his cellphone outside while looking at a red notebook
309,309,2414384480.jpg,Many people wait for trains.
310,310,1386994947.jpg,A couple wearing brown shirts face away to watch an outdoor concert.
311,311,4862804270.jpg,The Orient Hotel on an empty street at night.
312,312,3658643976.jpg,"People gathered along the roadside holding flag colors red, green and white."
313,313,4507122041.jpg,Man shielding son from oncoming traffic.
314,314,2867845624.jpg,The black and white dog is running through the ocean.
315,315,2605591891.jpg,A man in denim overalls rides a Segway down a city sidewalk.
316,316,3954384143.jpg,"While two students are jumping, others in a classroom are sitting or standing."
317,317,107582366.jpg,A group of people sit around a table outside on a front porch at night.
318,318,122188825.jpg,A construction worker in a yellow vest dig in the street while a second worker looks on.
319,319,5929638308.jpg,There is a carpenter measuring a board.
320,320,4487287116.jpg,A woman is walking down the street with a broken umbrella and her shopping bag on her arm
321,321,7833974088.jpg,Horny bicycle rider wishes he had put on sunscreen.
322,322,533507406.jpg,A child is in a junkyard will a demolished vehicle.
323,323,2553131080.jpg,"Grilling ribs, chicken Kabobs and vegetable kabobs."
324,324,4679917207.jpg,An older guy with a tan shirt and hat sitting on the side of a road with bricks
325,325,4511584046.jpg,Family gathered together in a house and enjoyed each other company.
326,326,3421928157.jpg,Two rafts overturn in a river.
327,327,3042612760.jpg,A lady in a red sweater and apron washing a tray in a sink.
328,328,500290283.jpg,A man is at an event catching a young calf.
329,329,4930663116.jpg,A young boy in green playing ping-pong with an older man in blue in a
330,330,873633312.jpg,The kid in the life vest jumps up in the air.
331,331,6142026295.jpg,Herds of bikers race by the spectator.
332,332,2767646251.jpg,"Two people are in a garage, while one is pouring out a bag."
333,333,6969679155.jpg,A person pulls a camel loaded with plants along a road.
334,334,691770760.jpg,Two people watch a dog run along a blue cloth with numbers on it.
335,335,3897909602.jpg,Two people are surfing a wave in front of the shoreline.
336,336,509042014.jpg,A man is on the roof of a car.
337,337,1150429218.jpg,"s clothing that consists of a pink tank top, skirt""]"
338,338,2905250733.jpg,Three guys looking out at the water with clouds in the sky.
339,339,3026622316.jpg,A guy in a grocery store playing a video game.
340,340,137231942.jpg,"A man wearing shorts, sandals and a black shirt is talking on his cellphone."
341,341,1079013716.jpg,Two men preparing food in a kitchen.
342,342,5526795355.jpg,A masked man plays a violin while wearing a silky red outfit and hat.
343,343,3514055630.jpg,Four men are by a table covered with different types of books.
344,344,4046071738.jpg,A little girl walking on a concrete boardwalk.
345,345,1429814475.jpg,The lady rest on the curb after riding her razer.
346,346,4617937991.jpg,A boy is looking at his finger with his guitar between his legs.
347,347,1801188148.jpg,Four dogs play together on grassy and leafy ground.
348,348,7999356691.jpg,A person is driving an all-terrain vehicle through a muddy course.
349,349,2089539651.jpg,A person holding poles is standing on a rock ledge with bushes on each side overlooking the mountains
350,350,3564312955.jpg,A smiling toddler in a pink swimsuit is lying in the water.
351,351,5840232264.jpg,A man with one leg is playing volleyball.
352,352,2414986483.jpg,The little girl dances with a Blues Brothers impersonator.
353,353,2090215703.jpg,A picture of two workers next to a semi truck standing outside the fence of a refinery shows
354,354,4145746372.jpg,A group of people in costumes are holding their arms in the air in the manner of the
355,355,6178585333.jpg,A soccer player is defending his possession.
356,356,2699721751.jpg,Two girls look through a microscope.
357,357,223864886.jpg,Two elaborately costumed people applying face paint.
358,358,1167908324.jpg,A man standing in a bar with a neon beer sign hanging on the wall.
359,359,1335877200.jpg,Commuters in a busy city wait for a train.
360,360,3668244651.jpg,"Two women, a man reading a red shirt and two children washing a baby doll."
361,361,7024549383.jpg,Children play with candy machines.
362,362,1714937792.jpg,Seven people sitting around a black table playing a card game.
363,363,5722658.jpg,A boy in a red jersey is playing ice hokey on an outdoor ice rink.
364,364,5456046008.jpg,The girl under the tree stuck her tongue out at the photographer in a playful manner.
365,365,2378791487.jpg,A man sitting on the edge of a cliff.
366,366,189721896.jpg,The climber in red is leading climbers up a long rock face.
367,367,3933142540.jpg,A man is walking across the street. What should I do?
368,368,228949397.jpg,A child slides down a yellow slide into a swimming pool.
369,369,2947452329.jpg,"A soccer player in blue, runs."
370,370,4097554482.jpg,A man wearing a suit walks down the street with a paper bag in hand.
371,371,3549208986.jpg,A young girl with black hair blowing a large bubble.
372,372,416568642.jpg,A young girl looks up at an adult as she tries to swing on a public playground.
373,373,4706166634.jpg,Two girls running down the street in front of a large building with white and red flags hanging
374,374,2608289957.jpg,A baby sits on a tire and holds a toy.
375,375,156740459.jpg,Older man cooking for an outdoor barbecue.
376,376,1561658940.jpg,A little girl is swinging in her brightly colored swing outside.
377,377,4655882055.jpg,A man with red glasses and curly hair is standing on a busy street.
378,378,4570980278.jpg,Two women in winter coats are walking together in a park area.
379,379,2374247382.jpg,A small boy rides a wooden toy and smiles.
380,380,4819912544.jpg,"People dressed in white, red and green, cheering and having a good time at a street"
381,381,4478989677.jpg,A woman painting with a roller.
382,382,1509786421.jpg,A boy points.
383,383,4818381346.jpg,Two children in sunhats relaxing by the railing of a boat out to sea.
384,384,6141381971.jpg,Two teams play soccer on a field.
385,385,2914160252.jpg,Young boy doing gymnastics
386,386,4447231069.jpg,Young boys in their teens are running on the beach.
387,387,3174196837.jpg,Four dogs running in the snow.
388,388,1003163366.jpg,A man lies on a bench to which a white dog is also tied.
389,389,2837254541.jpg,A woman with a red shirt and a large tattoo on her arm is playing a saxaph
390,390,2512682478.jpg,One boy pushes another on a swing.
391,391,2494518978.jpg,A woman wearing a black shirt is eating.
392,392,3255486615.jpg,A man wiping snow off his car with a large brick house in the back.
393,393,3781326288.jpg,Bust scene outside a club?
394,394,2565657591.jpg,A young kid cin orange climbs a rock climbing wall.
395,395,137453681.jpg,Youngsters are being served green eggs and ham.
396,396,2568065443.jpg,A child is crying at breakfast. What should I do?
397,397,1067675215.jpg,A man lies on a mat in a parking lot between a brown SUV and a yellow pickup
398,398,3700322513.jpg,A man is taking a picture of a cyclist performing a trick in the air.
399,399,2394237885.jpg,A man on the patio drinking a beer.
400,400,2255342813.jpg,Extreme climbing over the ocean.
401,401,2780087302.jpg,A man in a black shirt sits on a stool while trying to sell stuffed animals.
402,402,983396629.jpg,An older woman with glasses sits at a corner table reading a book inside a shop with olive
403,403,5728544416.jpg,A group of men and women walk in unison to one side of a stage.
404,404,4782878510.jpg,A man and a woman in a shawl sit down in front of a body of
405,405,1809476783.jpg,A groom is standing next to his bride in a white horse drawn carriage.
406,406,190878894.jpg,3 women are sitting down posing for a picture.
407,407,3517414605.jpg,A man standing on his cellphone next to a picture of a woman.
408,408,699448056.jpg,A welder in blue taking a water break.
409,409,3157847991.jpg,Two men are smoking behind a railing.
410,410,2766630484.jpg,"A brown, black and white dog barking up a tree."
411,411,2308352490.jpg,A man wearing a black jacket is working on a roof.
412,412,6939396159.jpg,A boy juggling balls between two cars in a parking lot.
413,413,2561849813.jpg,A baby sits on an empty beach under a big blue sky.
414,414,3866425459.jpg,A man in a green jumpsuit rides an orange dirt bike around.
415,415,4669564767.jpg,People on stilts in a parade.
416,416,1893252455.jpg,A man playing a board game with figures and dice takes his turn.
417,417,112245524.jpg,A woman wearing a red tank top is cutting a hamburger in half.
418,418,7438195398.jpg,A man wearing striped pants and a black and white checked hat plays an electric guitar while a
419,419,5184996839.jpg,An old man wearing a hooded sweatshirt is crouched over a fish that has been
420,420,4656278332.jpg,A group of people gathered in a large room that has beautiful architectural elements.
421,421,123628218.jpg,"Three people working in an office with a large messy bookshelf, one with a black"
422,422,3365049500.jpg,A woman in a swimsuit is looking at her pink phone by the side of a pool
